customer_id,segment_name,recency_days,frequency,monetary_value,return_rate,support_ticket_count,sessions_30d,product_views_30d,campaign_clicks_30d,average_discount_used
CUST00001,Discount Sensitive,107,6,1872.5727,0.16666666666666666,2.0,1,4,0,0.36333333333333334
CUST00002,Dormant and At Risk,-26,3,1386.9362,0.0,1.0,8,31,0,0.19000000000000003
CUST00003,Dormant and At Risk,171,1,344.48940000000005,0.0,0.0,1,3,0,0.47
CUST00004,Dormant and At Risk,131,1,1347.3935999999999,0.0,0.0,1,6,0,0.16
CUST00005,Loyal Customers,-50,6,2463.7209000000003,0.0,1.0,18,95,1,0.38833333333333336
CUST00006,Loyal Customers,-6,6,2712.7393,0.16666666666666666,2.0,2,8,0,0.36166666666666664
CUST00007,Dormant and At Risk,-58,2,980.2952,0.0,0.0,11,61,3,0.2
CUST00008,Loyal Customers,-16,6,2615.501,0.0,1.0,2,11,0,0.26
CUST00009,Discount Sensitive,-32,2,491.1915,0.5,0.0,11,57,0,0.395
CUST00010,Discount Sensitive,-52,2,996.9824,0.0,0.0,13,71,0,0.485
CUST00011,Loyal Customers,-54,4,2408.9301,0.0,0.0,10,34,0,0.195
CUST00012,Dormant and At Risk,50,2,1447.8072,0.0,1.0,3,16,0,0.29500000000000004
CUST00013,Loyal Customers,-58,4,2379.3481,0.0,1.0,4,22,0,0.20500000000000002
CUST00014,Loyal Customers,-60,13,6849.8566,0.0,2.0,11,57,0,0.28076923076923077
CUST00015,Loyal Customers,-60,5,4244.8928,0.0,0.0,6,23,0,0.286
CUST00016,Dormant and At Risk,215,1,372.8556,0.0,1.0,2,8,1,0.22
CUST00017,Dormant and At Risk,286,3,1290.5884999999998,0.0,0.0,4,23,4,0.26666666666666666
CUST00018,Dormant and At Risk,111,1,210.6944,0.0,0.0,3,8,2,0.36
CUST00019,Loyal Customers,-26,3,2302.5843,0.0,0.0,5,27,1,0.13
CUST00020,Dormant and At Risk,368,3,4013.2831000000006,0.0,1.0,0,0,0,0.13
CUST00021,Discount Sensitive,77,2,577.7475,0.0,1.0,3,14,0,0.435
CUST00022,Dormant and At Risk,-24,2,1024.9755,0.0,0.0,10,33,1,0.25
CUST00023,Dormant and At Risk,-19,2,582.7406000000001,0.0,0.0,3,15,1,0.245
CUST00024,Discount Sensitive,-47,2,677.7898,0.0,0.0,13,71,0,0.30000000000000004
CUST00025,High Value but Unhappy,165,7,3377.5501999999997,0.0,3.0,11,54,1,0.31142857142857144
CUST00026,Loyal Customers,-20,4,3898.9363,0.5,1.0,14,55,0,0.1225
CUST00027,Dormant and At Risk,-46,2,1882.3298,0.5,1.0,11,44,2,0.28500000000000003
CUST00028,Dormant and At Risk,-57,3,1441.3577,0.0,1.0,1,4,0,0.22999999999999998
CUST00029,Champions,-49,11,5693.7126,0.0,0.0,1,6,0,0.19454545454545455
CUST00030,Loyal Customers,-45,7,2595.5412,0.0,2.0,11,31,0,0.33999999999999997
CUST00031,Dormant and At Risk,49,1,511.44200000000006,0.0,0.0,6,35,0,0.24
CUST00032,Discount Sensitive,-29,4,1692.3435,0.0,0.0,12,70,0,0.3175
CUST00033,Loyal Customers,-46,6,2197.5862,0.3333333333333333,2.0,7,41,0,0.36833333333333335
CUST00034,Loyal Customers,-8,7,3258.4554,0.0,3.0,7,30,2,0.24714285714285714
CUST00035,Dormant and At Risk,127,3,1135.6163000000001,0.0,0.0,6,25,0,0.24333333333333332
CUST00036,Discount Sensitive,27,4,1115.851,0.25,1.0,0,0,0,0.365
CUST00037,Discount Sensitive,-52,3,1316.9715999999999,0.0,0.0,5,28,0,0.36333333333333334
